Ticker,Total Current Assets,Total Current Liabilities,Total Debt,Total Equity,Operating Income (Loss),"Interest Expense, Net",Net Income,Revenue,Price to Earnings Ratio (quarterly),Price to Book Value,Current Ratio,Debt-to-Equity Ratio,Interest Coverage Ratio,Net Profit Margin,ROE
A,0.0055535185131802,0.0069259476330081,0.0009624642469034,0.1168187241102996,0.5380843092253673,0.1798010686317931,0.2013032893303179,0.3058960777623318,0.50074220815754,0.2357470272802036,0.8018424058987835,0.00823895530646822,2.9926646894812796,0.6580773797522241,1.7232108196991471
AAL,0.0114863553868247,0.0491238371884458,0.0096531686311041,0.1090085554914716,0.539518767977545,0.1733685460388062,0.2002675103239381,0.3191272497509598,0.5007801447556944,0.2345786035631271,0.23382447390584452,0.08855422941421626,3.1119760781565367,0.6275475080245346,1.8371724074410494
ABBV,0.0304946073682677,0.0757803183528518,0.0231616957811903,0.117527650863748,0.5626515057398362,0.1719118206005321,0.2098011005558528,0.3188834594168907,0.5013189465570497,0.2373689929802775,0.4024080134669969,0.19707443832126012,3.2729076091123357,0.6579240608449696,1.7851211950035413
ABNB,0.0153162665824371,0.0278403374448855,0.000795788072247,0.1173124321486911,0.5364715576700512,0.1808638835508846,0.2011538822787008,0.3069048774644274,0.4989387826422227,0.236589704736187,0.5501465854269243,0.006783493084845048,2.9661618844932036,0.6554274534200456,1.714685124111504
ABT,0.01910306539599,0.0346132759554253,0.0056706321555919,0.1358060272442823,0.5457779235755399,0.1783315362068243,0.2052623277377304,0.3139353069371906,0.500621244157391,0.2354706431592314,0.551899953664911,0.041755379129026424,3.060467796018764,0.6538363898610406,1.5114375400181093
ACN,0.0179970580487486,0.0412290768511853,1.7601418536319768e-05,0.1245662924588909,0.5497520090525809,0.180520592596627,0.2064734784337412,0.3207474056579202,0.5005499980240276,0.2358872028850446,0.4365137282532,0.00014130161690513947,3.045370066344735,0.6437261059375392,1.6575389245198986
ADBE,0.0052319300688868,0.0098766154991376,0.000765202464865,0.1190810907074354,0.5423821897251809,0.1796941493037558,0.2034479704907902,0.307352120928039,0.5008179250109037,0.2366598344765493,0.5297290422355349,0.0064258939880303,3.018363101006342,0.6619377470911414,1.7084825918384616
ADI,0.0045525412205456,0.0041274233999639,0.0011859225590799,0.122805381542964,0.5385847500505323,0.1798784666668168,0.2014376221379333,0.3054073358078248,0.5006351651878717,0.2351071660580883,1.1029983549992517,0.009656926627967032,2.9941591121528504,0.659570345961455,1.6402996318810301
ADM,0.0253962117034907,0.0471345283371171,0.0035658587625738,0.130668834681219,0.5420054640484149,0.1785568296723391,0.2033054213640869,0.3373261602254856,0.5002228397529674,0.2350219018123925,0.5388027121402614,0.027289282645499246,3.0354787607005713,0.6026968712660394,1.5558830218396975
ADP,0.0352743185601687,0.1023557059480969,0.0006007070367087,0.117919693629559,0.5418188983000521,0.1800033460569881,0.2028660161258662,0.3087126851462939,0.5005940779541005,0.2386138329952423,0.34462483779903585,0.005094204523595543,3.0100490361357792,0.6571353426236155,1.7203743486916052
